id,name,age,city
1,David_1,58,Seattle
2,Deb_2,48,New York
3,Monica_3,51,Providence
4,Helen_4,48,Hartford
5,Madhu_5,24,Jersey City
6,Habu_6,34,Boston
7,Sara_7,48,Pittsburgh
8,Charlie_8,57,Boston
9,Subhas_9,59,Huston
10,David_10,31,Pittsburgh
11,Rupa_11,39,Boston
12,Tapas_12,25,Dallas
13,Monica_13,54,Chicago
14,Deb_14,49,Chicago
15,Amit_15,40,Columbus
16,Sara_16,21,Boston
17,Charlie_17,29,Hartford
18,Rupa_18,35,Albany
19,Tapas_19,53,Indianapolis
20,Helen_20,28,Boston
21,Naryan_21,39,Austin
22,Habu_22,28,Dallas
23,Amit_23,39,Detroit
24,Deb_24,23,Chicago
25,Deb_25,30,Buffalo
26,Subhas_26,50,Cleveland
27,Charlie_27,35,Providence
28,Amit_28,42,Albany
29,Grace_29,43,Pittsburgh
30,Grace_30,40,Cleveland
